seq,frame,coord_ 1,coord_ 2,coord_ 3,coord_ 4,coord_ 5,coord_ 6,coord_ 7,coord_ 8,coord_ 9,coord_10,coord_11,coord_12,coord_13,coord_14,coord_15,class
1,000001.jpg,256.3065,96.43558,420.1154,212.8296,0.8748568,,,,,,,,,,,grasper
1,000001.jpg,,,,,,,,,,,,,,,,stapler
1,000001.jpg,,,,,,,,,,,,,,,,needle
1,000001.jpg,,,,,,,,,,,,,,,,holder
1,000001.jpg,,,,,,,,,,,,,,,,stitcher
1,000001.jpg,1,1,491,351,0.9899094,,,,,,,,,,,background
2,000007.jpg,409.5624,163.3284,491,232.6424,0.6128635,,,,,,,,,,,grasper
2,000007.jpg,,,,,,,,,,,,,,,,stapler
2,000007.jpg,,,,,,,,,,,,,,,,needle
2,000007.jpg,,,,,,,,,,,,,,,,holder
2,000007.jpg,,,,,,,,,,,,,,,,stitcher
2,000007.jpg,1,1,491,351,0.973497,,,,,,,,,,,background
3,000013.jpg,342.5908,21.73797,134.0642,243.9242,474.0144,194.7602,255.2485,328.3019,0.9999919,0.9999335,,,,,,grasper
3,000013.jpg,,,,,,,,,,,,,,,,stapler
3,000013.jpg,,,,,,,,,,,,,,,,needle
3,000013.jpg,,,,,,,,,,,,,,,,holder
3,000013.jpg,,,,,,,,,,,,,,,,stitcher
3,000013.jpg,,,,,,,,,,,,,,,,background
4,000019.jpg,296.4589,136.1912,437.8809,252.7979,0.9999244,,,,,,,,,,,grasper
4,000019.jpg,,,,,,,,,,,,,,,,stapler
4,000019.jpg,,,,,,,,,,,,,,,,needle
4,000019.jpg,,,,,,,,,,,,,,,,holder
4,000019.jpg,,,,,,,,,,,,,,,,stitcher
4,000019.jpg,,,,,,,,,,,,,,,,background
5,000025.jpg,275.2878,132.2069,394.2725,233.3615,0.9999878,,,,,,,,,,,grasper
5,000025.jpg,,,,,,,,,,,,,,,,stapler
5,000025.jpg,,,,,,,,,,,,,,,,needle
5,000025.jpg,,,,,,,,,,,,,,,,holder
5,000025.jpg,,,,,,,,,,,,,,,,stitcher
5,000025.jpg,,,,,,,,,,,,,,,,background
6,000031.jpg,277.1413,130.6505,414.6502,230.3366,0.9999076,,,,,,,,,,,grasper
6,000031.jpg,,,,,,,,,,,,,,,,stapler
6,000031.jpg,,,,,,,,,,,,,,,,needle
6,000031.jpg,,,,,,,,,,,,,,,,holder
6,000031.jpg,,,,,,,,,,,,,,,,stitcher
6,000031.jpg,,,,,,,,,,,,,,,,background
7,000037.jpg,330.179,99.23934,142.8305,158.6068,484.2772,247.9608,284.21,310.5681,0.9999889,0.9999789,,,,,,grasper
7,000037.jpg,,,,,,,,,,,,,,,,stapler
7,000037.jpg,,,,,,,,,,,,,,,,needle
7,000037.jpg,,,,,,,,,,,,,,,,holder
7,000037.jpg,,,,,,,,,,,,,,,,stitcher
7,000037.jpg,,,,,,,,,,,,,,,,background
8,000043.jpg,348.127,228.4633,157.8382,140.7602,489.8538,320.5592,288.3991,260.494,0.9999418,0.9996152,,,,,,grasper
8,000043.jpg,,,,,,,,,,,,,,,,stapler
8,000043.jpg,,,,,,,,,,,,,,,,needle
8,000043.jpg,,,,,,,,,,,,,,,,holder
8,000043.jpg,,,,,,,,,,,,,,,,stitcher
8,000043.jpg,,,,,,,,,,,,,,,,background
9,000049.jpg,334.922,239.2391,136.882,150.458,491,326.5771,263.235,261.4924,0.999988,0.9995165,,,,,,grasper
9,000049.jpg,,,,,,,,,,,,,,,,stapler
9,000049.jpg,,,,,,,,,,,,,,,,needle
9,000049.jpg,,,,,,,,,,,,,,,,holder
9,000049.jpg,,,,,,,,,,,,,,,,stitcher
9,000049.jpg,,,,,,,,,,,,,,,,background
10,000055.jpg,329.1145,219.4898,125.9455,169.3473,483.7608,308.6826,257.1896,295.1665,0.9999915,0.9990216,,,,,,grasper
10,000055.jpg,,,,,,,,,,,,,,,,stapler
10,000055.jpg,,,,,,,,,,,,,,,,needle
10,000055.jpg,,,,,,,,,,,,,,,,holder
10,000055.jpg,,,,,,,,,,,,,,,,stitcher
10,000055.jpg,,,,,,,,,,,,,,,,background
11,000061.jpg,322.8736,248.9627,129.1554,196.2417,481.2911,341.5479,262.4384,294.9571,0.9999548,0.9909106,,,,,,grasper
11,000061.jpg,,,,,,,,,,,,,,,,stapler
11,000061.jpg,,,,,,,,,,,,,,,,needle
11,000061.jpg,,,,,,,,,,,,,,,,holder
11,000061.jpg,,,,,,,,,,,,,,,,stitcher
11,000061.jpg,,,,,,,,,,,,,,,,background
12,000067.jpg,290.6759,139.5171,472.4584,275.8873,0.9995467,,,,,,,,,,,grasper
12,000067.jpg,,,,,,,,,,,,,,,,stapler
12,000067.jpg,,,,,,,,,,,,,,,,needle
12,000067.jpg,,,,,,,,,,,,,,,,holder
12,000067.jpg,,,,,,,,,,,,,,,,stitcher
12,000067.jpg,,,,,,,,,,,,,,,,background
13,000073.jpg,230.755,193.7484,394.8265,304.2538,0.9999406,,,,,,,,,,,grasper
13,000073.jpg,,,,,,,,,,,,,,,,stapler
13,000073.jpg,,,,,,,,,,,,,,,,needle
13,000073.jpg,,,,,,,,,,,,,,,,holder
13,000073.jpg,,,,,,,,,,,,,,,,stitcher
13,000073.jpg,1,1.771869,491,350.4977,0.9972131,,,,,,,,,,,background
14,000079.jpg,150.5214,247.4862,283.4712,338.0315,0.9823918,,,,,,,,,,,grasper
14,000079.jpg,,,,,,,,,,,,,,,,stapler
14,000079.jpg,,,,,,,,,,,,,,,,needle
14,000079.jpg,,,,,,,,,,,,,,,,holder
14,000079.jpg,,,,,,,,,,,,,,,,stitcher
14,000079.jpg,1,1,491,351,0.9970891,,,,,,,,,,,background
15,000085.jpg,,,,,,,,,,,,,,,,grasper
15,000085.jpg,,,,,,,,,,,,,,,,stapler
15,000085.jpg,,,,,,,,,,,,,,,,needle
15,000085.jpg,,,,,,,,,,,,,,,,holder
15,000085.jpg,,,,,,,,,,,,,,,,stitcher
15,000085.jpg,1,1,491,351,0.9971968,,,,,,,,,,,background
16,000091.jpg,151.5461,276.5625,305.8669,342.2802,0.9535592,,,,,,,,,,,grasper
16,000091.jpg,,,,,,,,,,,,,,,,stapler
16,000091.jpg,,,,,,,,,,,,,,,,needle
16,000091.jpg,,,,,,,,,,,,,,,,holder
16,000091.jpg,,,,,,,,,,,,,,,,stitcher
16,000091.jpg,1,1,464.2715,351,0.999564,,,,,,,,,,,background
17,000097.jpg,,,,,,,,,,,,,,,,grasper
17,000097.jpg,,,,,,,,,,,,,,,,stapler
17,000097.jpg,,,,,,,,,,,,,,,,needle
17,000097.jpg,,,,,,,,,,,,,,,,holder
17,000097.jpg,,,,,,,,,,,,,,,,stitcher
17,000097.jpg,1,1,491,351,0.9999981,,,,,,,,,,,background
18,000103.jpg,,,,,,,,,,,,,,,,grasper
18,000103.jpg,,,,,,,,,,,,,,,,stapler
18,000103.jpg,,,,,,,,,,,,,,,,needle
18,000103.jpg,,,,,,,,,,,,,,,,holder
18,000103.jpg,,,,,,,,,,,,,,,,stitcher
18,000103.jpg,1,1,491,341.2295,0.9999698,,,,,,,,,,,background
19,000109.jpg,7.353551,192.8699,65.77765,259.7994,0.9999987,,,,,,,,,,,grasper
19,000109.jpg,,,,,,,,,,,,,,,,stapler
19,000109.jpg,,,,,,,,,,,,,,,,needle
19,000109.jpg,,,,,,,,,,,,,,,,holder
19,000109.jpg,,,,,,,,,,,,,,,,stitcher
19,000109.jpg,1,1,491,351,0.9975414,,,,,,,,,,,background
20,000115.jpg,121.8556,166.1751,263.6879,279.4484,0.9844885,,,,,,,,,,,grasper
20,000115.jpg,,,,,,,,,,,,,,,,stapler
20,000115.jpg,,,,,,,,,,,,,,,,needle
20,000115.jpg,,,,,,,,,,,,,,,,holder
20,000115.jpg,,,,,,,,,,,,,,,,stitcher
20,000115.jpg,1,1.306336,491,351,0.9990928,,,,,,,,,,,background
21,000121.jpg,166.4591,193.9202,242.6901,282.117,0.9997022,,,,,,,,,,,grasper
21,000121.jpg,,,,,,,,,,,,,,,,stapler
21,000121.jpg,,,,,,,,,,,,,,,,needle
21,000121.jpg,,,,,,,,,,,,,,,,holder
21,000121.jpg,,,,,,,,,,,,,,,,stitcher
21,000121.jpg,,,,,,,,,,,,,,,,background
22,000127.jpg,,,,,,,,,,,,,,,,grasper
22,000127.jpg,,,,,,,,,,,,,,,,stapler
22,000127.jpg,,,,,,,,,,,,,,,,needle
22,000127.jpg,,,,,,,,,,,,,,,,holder
22,000127.jpg,,,,,,,,,,,,,,,,stitcher
22,000127.jpg,1,1,491,351,0.999939,,,,,,,,,,,background
23,000133.jpg,185.607,239.1545,312.344,329.4992,0.9998084,,,,,,,,,,,grasper
23,000133.jpg,,,,,,,,,,,,,,,,stapler
23,000133.jpg,,,,,,,,,,,,,,,,needle
23,000133.jpg,,,,,,,,,,,,,,,,holder
23,000133.jpg,,,,,,,,,,,,,,,,stitcher
23,000133.jpg,1,1,491,351,0.9664108,,,,,,,,,,,background
24,000139.jpg,141.6912,241.4667,317.2151,305.5645,0.9992312,,,,,,,,,,,grasper
24,000139.jpg,,,,,,,,,,,,,,,,stapler
24,000139.jpg,,,,,,,,,,,,,,,,needle
24,000139.jpg,,,,,,,,,,,,,,,,holder
24,000139.jpg,,,,,,,,,,,,,,,,stitcher
24,000139.jpg,3.081008,1,491,329.2212,0.972896,,,,,,,,,,,background
25,000145.jpg,123.4591,245.8324,319.4748,305.9834,0.9985459,,,,,,,,,,,grasper
25,000145.jpg,,,,,,,,,,,,,,,,stapler
25,000145.jpg,,,,,,,,,,,,,,,,needle
25,000145.jpg,,,,,,,,,,,,,,,,holder
25,000145.jpg,,,,,,,,,,,,,,,,stitcher
25,000145.jpg,,,,,,,,,,,,,,,,background
26,000151.jpg,130.0896,238.9252,322.8243,310.774,0.9981874,,,,,,,,,,,grasper
26,000151.jpg,,,,,,,,,,,,,,,,stapler
26,000151.jpg,,,,,,,,,,,,,,,,needle
26,000151.jpg,282.4374,20.32695,454.1032,67.0368,0.7029619,,,,,,,,,,,holder
26,000151.jpg,,,,,,,,,,,,,,,,stitcher
26,000151.jpg,,,,,,,,,,,,,,,,background
27,000157.jpg,115.0387,200.6005,288.4081,275.3526,0.9992319,,,,,,,,,,,grasper
27,000157.jpg,274.8948,23.93398,396.8262,166.1001,0.9980988,,,,,,,,,,,stapler
27,000157.jpg,,,,,,,,,,,,,,,,needle
27,000157.jpg,,,,,,,,,,,,,,,,holder
27,000157.jpg,,,,,,,,,,,,,,,,stitcher
27,000157.jpg,,,,,,,,,,,,,,,,background
28,000163.jpg,72.72819,201.693,256.1258,263.4656,0.9996743,,,,,,,,,,,grasper
28,000163.jpg,292.7722,63.16506,411.6709,190.8434,0.9945408,,,,,,,,,,,stapler
28,000163.jpg,,,,,,,,,,,,,,,,needle
28,000163.jpg,,,,,,,,,,,,,,,,holder
28,000163.jpg,,,,,,,,,,,,,,,,stitcher
28,000163.jpg,,,,,,,,,,,,,,,,background
29,000169.jpg,43.10246,168.3816,228.1036,243.9232,0.9998481,,,,,,,,,,,grasper
29,000169.jpg,263.6071,87.58267,436.2682,216.6059,0.9607189,,,,,,,,,,,stapler
29,000169.jpg,,,,,,,,,,,,,,,,needle
29,000169.jpg,,,,,,,,,,,,,,,,holder
29,000169.jpg,,,,,,,,,,,,,,,,stitcher
29,000169.jpg,,,,,,,,,,,,,,,,background
30,000175.jpg,32.12078,144.8156,218.4102,211.0522,0.9997616,,,,,,,,,,,grasper
30,000175.jpg,189.5898,120.8542,427.8951,290.7351,0.9984951,,,,,,,,,,,stapler
30,000175.jpg,,,,,,,,,,,,,,,,needle
30,000175.jpg,,,,,,,,,,,,,,,,holder
30,000175.jpg,,,,,,,,,,,,,,,,stitcher
30,000175.jpg,,,,,,,,,,,,,,,,background
31,000181.jpg,24.45098,136.3283,218.1335,202.7721,0.9999324,,,,,,,,,,,grasper
31,000181.jpg,182.423,97.70934,402.5654,297.3072,0.9998912,,,,,,,,,,,stapler
31,000181.jpg,,,,,,,,,,,,,,,,needle
31,000181.jpg,,,,,,,,,,,,,,,,holder
31,000181.jpg,,,,,,,,,,,,,,,,stitcher
31,000181.jpg,,,,,,,,,,,,,,,,background
32,000187.jpg,36.22379,126.6872,198.6598,207.0724,0.9938095,,,,,,,,,,,grasper
32,000187.jpg,142.2679,108.5386,410.2634,285.382,0.9987382,,,,,,,,,,,stapler
32,000187.jpg,,,,,,,,,,,,,,,,needle
32,000187.jpg,,,,,,,,,,,,,,,,holder
32,000187.jpg,,,,,,,,,,,,,,,,stitcher
32,000187.jpg,,,,,,,,,,,,,,,,background
33,000193.jpg,26.68763,148.0405,236.6959,210.6519,0.99999,,,,,,,,,,,grasper
33,000193.jpg,157.4248,133.678,407.235,298.5084,0.9999744,,,,,,,,,,,stapler
33,000193.jpg,,,,,,,,,,,,,,,,needle
33,000193.jpg,,,,,,,,,,,,,,,,holder
33,000193.jpg,,,,,,,,,,,,,,,,stitcher
33,000193.jpg,,,,,,,,,,,,,,,,background
34,000199.jpg,1.52822,179.5583,237.2011,258.0598,0.9324747,,,,,,,,,,,grasper
34,000199.jpg,,,,,,,,,,,,,,,,stapler
34,000199.jpg,,,,,,,,,,,,,,,,needle
34,000199.jpg,14.4666,180.26,195.0396,274.6256,0.8397801,,,,,,,,,,,holder
34,000199.jpg,,,,,,,,,,,,,,,,stitcher
34,000199.jpg,,,,,,,,,,,,,,,,background
35,000205.jpg,81.1006,383.0354,284.6115,203.0139,325.8765,491,342.3404,277.2854,0.9999808,0.9702562,,,,,,grasper
35,000205.jpg,228.4089,94.17607,372.6461,188.4961,0.9999352,,,,,,,,,,,stapler
35,000205.jpg,,,,,,,,,,,,,,,,needle
35,000205.jpg,,,,,,,,,,,,,,,,holder
35,000205.jpg,,,,,,,,,,,,,,,,stitcher
35,000205.jpg,,,,,,,,,,,,,,,,background
36,000211.jpg,,,,,,,,,,,,,,,,grasper
36,000211.jpg,263.8461,61.6702,420.5563,153.7154,0.9997819,,,,,,,,,,,stapler
36,000211.jpg,,,,,,,,,,,,,,,,needle
36,000211.jpg,,,,,,,,,,,,,,,,holder
36,000211.jpg,,,,,,,,,,,,,,,,stitcher
36,000211.jpg,,,,,,,,,,,,,,,,background
37,000217.jpg,,,,,,,,,,,,,,,,grasper
37,000217.jpg,274.458,49.97487,424.1564,169.9426,0.9999648,,,,,,,,,,,stapler
37,000217.jpg,,,,,,,,,,,,,,,,needle
37,000217.jpg,,,,,,,,,,,,,,,,holder
37,000217.jpg,,,,,,,,,,,,,,,,stitcher
37,000217.jpg,,,,,,,,,,,,,,,,background
38,000223.jpg,,,,,,,,,,,,,,,,grasper
38,000223.jpg,281.195,46.80836,460.742,151.2593,0.999938,,,,,,,,,,,stapler
38,000223.jpg,,,,,,,,,,,,,,,,needle
38,000223.jpg,,,,,,,,,,,,,,,,holder
38,000223.jpg,,,,,,,,,,,,,,,,stitcher
38,000223.jpg,,,,,,,,,,,,,,,,background
39,000229.jpg,,,,,,,,,,,,,,,,grasper
39,000229.jpg,288.4717,63.49562,451.0711,166.5435,0.9999188,,,,,,,,,,,stapler
39,000229.jpg,,,,,,,,,,,,,,,,needle
39,000229.jpg,,,,,,,,,,,,,,,,holder
39,000229.jpg,,,,,,,,,,,,,,,,stitcher
39,000229.jpg,,,,,,,,,,,,,,,,background
40,000235.jpg,,,,,,,,,,,,,,,,grasper
40,000235.jpg,274.2334,78.10015,410.9486,178.4947,0.9998253,,,,,,,,,,,stapler
40,000235.jpg,,,,,,,,,,,,,,,,needle
40,000235.jpg,,,,,,,,,,,,,,,,holder
40,000235.jpg,,,,,,,,,,,,,,,,stitcher
40,000235.jpg,,,,,,,,,,,,,,,,background
41,000241.jpg,,,,,,,,,,,,,,,,grasper
41,000241.jpg,267.1668,83.41837,400.2069,181.2561,0.9996911,,,,,,,,,,,stapler
41,000241.jpg,,,,,,,,,,,,,,,,needle
41,000241.jpg,,,,,,,,,,,,,,,,holder
41,000241.jpg,,,,,,,,,,,,,,,,stitcher
41,000241.jpg,,,,,,,,,,,,,,,,background
42,000247.jpg,266.5557,98.04727,483.7125,195.6085,0.7257082,,,,,,,,,,,grasper
42,000247.jpg,273.8231,94.03407,423.0563,175.3822,0.6285901,,,,,,,,,,,stapler
42,000247.jpg,,,,,,,,,,,,,,,,needle
42,000247.jpg,,,,,,,,,,,,,,,,holder
42,000247.jpg,,,,,,,,,,,,,,,,stitcher
42,000247.jpg,1.846417,1,437.9747,350.6419,0.9989725,,,,,,,,,,,background
43,000253.jpg,,,,,,,,,,,,,,,,grasper
43,000253.jpg,,,,,,,,,,,,,,,,stapler
43,000253.jpg,,,,,,,,,,,,,,,,needle
43,000253.jpg,,,,,,,,,,,,,,,,holder
43,000253.jpg,,,,,,,,,,,,,,,,stitcher
43,000253.jpg,2.737771,12.18573,480.0906,351,0.9999461,,,,,,,,,,,background
44,000259.jpg,,,,,,,,,,,,,,,,grasper
44,000259.jpg,298.9951,136.4671,484.9248,263.2443,0.9999045,,,,,,,,,,,stapler
44,000259.jpg,,,,,,,,,,,,,,,,needle
44,000259.jpg,,,,,,,,,,,,,,,,holder
44,000259.jpg,,,,,,,,,,,,,,,,stitcher
44,000259.jpg,,,,,,,,,,,,,,,,background
45,000265.jpg,,,,,,,,,,,,,,,,grasper
45,000265.jpg,296.9826,137.6794,465.6677,275.1446,0.9999919,,,,,,,,,,,stapler
45,000265.jpg,,,,,,,,,,,,,,,,needle
45,000265.jpg,,,,,,,,,,,,,,,,holder
45,000265.jpg,,,,,,,,,,,,,,,,stitcher
45,000265.jpg,,,,,,,,,,,,,,,,background
46,000271.jpg,,,,,,,,,,,,,,,,grasper
46,000271.jpg,294.5991,152.2048,457.367,282.8505,0.9999692,,,,,,,,,,,stapler
46,000271.jpg,,,,,,,,,,,,,,,,needle
46,000271.jpg,,,,,,,,,,,,,,,,holder
46,000271.jpg,,,,,,,,,,,,,,,,stitcher
46,000271.jpg,,,,,,,,,,,,,,,,background
47,000277.jpg,6.322152,90.97188,101.632,200.4675,0.9999833,,,,,,,,,,,grasper
47,000277.jpg,295.6177,168.287,460.0219,309.1389,0.9999393,,,,,,,,,,,stapler
47,000277.jpg,,,,,,,,,,,,,,,,needle
47,000277.jpg,,,,,,,,,,,,,,,,holder
47,000277.jpg,,,,,,,,,,,,,,,,stitcher
47,000277.jpg,,,,,,,,,,,,,,,,background
48,000283.jpg,126.7757,32.07465,117.6011,145.9992,285.9398,216.5997,229.7016,252.8193,0.9972767,0.9727098,,,,,,grasper
48,000283.jpg,339.2386,189.6422,491,285.7944,0.99993,,,,,,,,,,,stapler
48,000283.jpg,,,,,,,,,,,,,,,,needle
48,000283.jpg,,,,,,,,,,,,,,,,holder
48,000283.jpg,,,,,,,,,,,,,,,,stitcher
48,000283.jpg,,,,,,,,,,,,,,,,background
49,000289.jpg,71.30979,244.7044,220.3666,324.3022,0.9999706,,,,,,,,,,,grasper
49,000289.jpg,289.0427,179.2616,482.3735,286.8125,0.9999342,,,,,,,,,,,stapler
49,000289.jpg,,,,,,,,,,,,,,,,needle
49,000289.jpg,,,,,,,,,,,,,,,,holder
49,000289.jpg,,,,,,,,,,,,,,,,stitcher
49,000289.jpg,,,,,,,,,,,,,,,,background
50,000295.jpg,251.7367,241.2856,323.7044,348.7488,0.9997252,,,,,,,,,,,grasper
50,000295.jpg,320.4254,184.3429,489.8538,284.6455,0.9997618,,,,,,,,,,,stapler
50,000295.jpg,,,,,,,,,,,,,,,,needle
50,000295.jpg,,,,,,,,,,,,,,,,holder
50,000295.jpg,,,,,,,,,,,,,,,,stitcher
50,000295.jpg,,,,,,,,,,,,,,,,background
51,000301.jpg,252.3417,246.3078,347.6413,346.5726,0.9999815,,,,,,,,,,,grasper
51,000301.jpg,329.4744,182.5116,491,283.6292,0.9999446,,,,,,,,,,,stapler
51,000301.jpg,,,,,,,,,,,,,,,,needle
51,000301.jpg,,,,,,,,,,,,,,,,holder
51,000301.jpg,,,,,,,,,,,,,,,,stitcher
51,000301.jpg,,,,,,,,,,,,,,,,background
52,000307.jpg,255.8436,261.4889,328.4384,351,0.9998901,,,,,,,,,,,grasper
52,000307.jpg,327.7243,199.232,486.7099,307.8165,0.9925504,,,,,,,,,,,stapler
52,000307.jpg,,,,,,,,,,,,,,,,needle
52,000307.jpg,,,,,,,,,,,,,,,,holder
52,000307.jpg,,,,,,,,,,,,,,,,stitcher
52,000307.jpg,,,,,,,,,,,,,,,,background
53,000313.jpg,,,,,,,,,,,,,,,,grasper
53,000313.jpg,334.5463,194.3913,491,321.7633,0.9961875,,,,,,,,,,,stapler
53,000313.jpg,,,,,,,,,,,,,,,,needle
53,000313.jpg,,,,,,,,,,,,,,,,holder
53,000313.jpg,,,,,,,,,,,,,,,,stitcher
53,000313.jpg,,,,,,,,,,,,,,,,background
54,000319.jpg,,,,,,,,,,,,,,,,grasper
54,000319.jpg,349.097,183.4416,491,314.2496,0.9976323,,,,,,,,,,,stapler
54,000319.jpg,,,,,,,,,,,,,,,,needle
54,000319.jpg,,,,,,,,,,,,,,,,holder
54,000319.jpg,,,,,,,,,,,,,,,,stitcher
54,000319.jpg,1,1,491,351,0.984506,,,,,,,,,,,background
55,000325.jpg,,,,,,,,,,,,,,,,grasper
55,000325.jpg,374.0867,176.3542,485.137,329.0713,0.9964546,,,,,,,,,,,stapler
55,000325.jpg,,,,,,,,,,,,,,,,needle
55,000325.jpg,,,,,,,,,,,,,,,,holder
55,000325.jpg,,,,,,,,,,,,,,,,stitcher
55,000325.jpg,2.905946,1,491,325.5294,0.8291074,,,,,,,,,,,background
56,000331.jpg,,,,,,,,,,,,,,,,grasper
56,000331.jpg,386.0347,132.2354,491,258.6451,0.9980102,,,,,,,,,,,stapler
56,000331.jpg,,,,,,,,,,,,,,,,needle
56,000331.jpg,,,,,,,,,,,,,,,,holder
56,000331.jpg,,,,,,,,,,,,,,,,stitcher
56,000331.jpg,1,1,491,309.6417,0.9988292,,,,,,,,,,,background
57,000337.jpg,139.456,249.4816,242.2963,337.8478,0.9999863,,,,,,,,,,,grasper
57,000337.jpg,358.4933,66.79037,487.8585,184.4281,0.9999961,,,,,,,,,,,stapler
57,000337.jpg,,,,,,,,,,,,,,,,needle
57,000337.jpg,,,,,,,,,,,,,,,,holder
57,000337.jpg,,,,,,,,,,,,,,,,stitcher
57,000337.jpg,,,,,,,,,,,,,,,,background
58,000343.jpg,80.65544,169.3886,249.2166,312.3359,0.9999921,,,,,,,,,,,grasper
58,000343.jpg,,,,,,,,,,,,,,,,stapler
58,000343.jpg,,,,,,,,,,,,,,,,needle
58,000343.jpg,,,,,,,,,,,,,,,,holder
58,000343.jpg,,,,,,,,,,,,,,,,stitcher
58,000343.jpg,,,,,,,,,,,,,,,,background
59,000349.jpg,53.51033,142.4602,246.4394,280.4147,0.999997,,,,,,,,,,,grasper
59,000349.jpg,,,,,,,,,,,,,,,,stapler
59,000349.jpg,,,,,,,,,,,,,,,,needle
59,000349.jpg,,,,,,,,,,,,,,,,holder
59,000349.jpg,,,,,,,,,,,,,,,,stitcher
59,000349.jpg,,,,,,,,,,,,,,,,background
60,000355.jpg,60.73508,145.1371,230.2892,275.5918,0.9999988,,,,,,,,,,,grasper
60,000355.jpg,,,,,,,,,,,,,,,,stapler
60,000355.jpg,,,,,,,,,,,,,,,,needle
60,000355.jpg,,,,,,,,,,,,,,,,holder
60,000355.jpg,,,,,,,,,,,,,,,,stitcher
60,000355.jpg,,,,,,,,,,,,,,,,background
61,000361.jpg,61.61587,150.3542,234.9313,294.0415,0.9999996,,,,,,,,,,,grasper
61,000361.jpg,,,,,,,,,,,,,,,,stapler
61,000361.jpg,,,,,,,,,,,,,,,,needle
61,000361.jpg,,,,,,,,,,,,,,,,holder
61,000361.jpg,,,,,,,,,,,,,,,,stitcher
61,000361.jpg,,,,,,,,,,,,,,,,background
62,000367.jpg,66.3231,165.0385,240.2631,299.6717,0.9999847,,,,,,,,,,,grasper
62,000367.jpg,,,,,,,,,,,,,,,,stapler
62,000367.jpg,,,,,,,,,,,,,,,,needle
62,000367.jpg,,,,,,,,,,,,,,,,holder
62,000367.jpg,,,,,,,,,,,,,,,,stitcher
62,000367.jpg,,,,,,,,,,,,,,,,background
63,000373.jpg,77.76525,186.8434,263.5437,309.2823,0.9999939,,,,,,,,,,,grasper
63,000373.jpg,,,,,,,,,,,,,,,,stapler
63,000373.jpg,,,,,,,,,,,,,,,,needle
63,000373.jpg,,,,,,,,,,,,,,,,holder
63,000373.jpg,,,,,,,,,,,,,,,,stitcher
63,000373.jpg,,,,,,,,,,,,,,,,background
64,000379.jpg,78.04047,170.0402,251.0732,305.9414,0.9999838,,,,,,,,,,,grasper
64,000379.jpg,,,,,,,,,,,,,,,,stapler
64,000379.jpg,,,,,,,,,,,,,,,,needle
64,000379.jpg,,,,,,,,,,,,,,,,holder
64,000379.jpg,,,,,,,,,,,,,,,,stitcher
64,000379.jpg,,,,,,,,,,,,,,,,background
65,000385.jpg,14.54822,104.3348,223.0666,239.8717,0.9999839,,,,,,,,,,,grasper
65,000385.jpg,,,,,,,,,,,,,,,,stapler
65,000385.jpg,,,,,,,,,,,,,,,,needle
65,000385.jpg,,,,,,,,,,,,,,,,holder
65,000385.jpg,,,,,,,,,,,,,,,,stitcher
65,000385.jpg,,,,,,,,,,,,,,,,background
66,000391.jpg,13.01245,42.53762,226.7461,157.1102,0.9998428,,,,,,,,,,,grasper
66,000391.jpg,,,,,,,,,,,,,,,,stapler
66,000391.jpg,,,,,,,,,,,,,,,,needle
66,000391.jpg,,,,,,,,,,,,,,,,holder
66,000391.jpg,,,,,,,,,,,,,,,,stitcher
66,000391.jpg,,,,,,,,,,,,,,,,background
67,000397.jpg,22.40144,9.676698,259.3846,127.0503,0.9999938,,,,,,,,,,,grasper
67,000397.jpg,,,,,,,,,,,,,,,,stapler
67,000397.jpg,,,,,,,,,,,,,,,,needle
67,000397.jpg,,,,,,,,,,,,,,,,holder
67,000397.jpg,,,,,,,,,,,,,,,,stitcher
