seq,frame,coord_ 1,coord_ 2,coord_ 3,coord_ 4,coord_ 5,coord_ 6,coord_ 7,coord_ 8,coord_ 9,coord_10,coord_11,coord_12,coord_13,coord_14,coord_15,coord_16,coord_17,coord_18,coord_19,coord_20,class
1,000001.jpg,248.4975,62.22308,334.0937,203.0156,0.999844,,,,,,,,,,,,,,,,grasper
1,000001.jpg,,,,,,,,,,,,,,,,,,,,,stapler
1,000001.jpg,,,,,,,,,,,,,,,,,,,,,needle
1,000001.jpg,,,,,,,,,,,,,,,,,,,,,holder
1,000001.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
1,000001.jpg,,,,,,,,,,,,,,,,,,,,,background
2,000007.jpg,299.7628,62.49918,379.8784,229.0977,0.9999824,,,,,,,,,,,,,,,,grasper
2,000007.jpg,,,,,,,,,,,,,,,,,,,,,stapler
2,000007.jpg,,,,,,,,,,,,,,,,,,,,,needle
2,000007.jpg,,,,,,,,,,,,,,,,,,,,,holder
2,000007.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
2,000007.jpg,,,,,,,,,,,,,,,,,,,,,background
3,000013.jpg,289.116,31.78856,367.3717,158.3793,0.9999934,,,,,,,,,,,,,,,,grasper
3,000013.jpg,,,,,,,,,,,,,,,,,,,,,stapler
3,000013.jpg,,,,,,,,,,,,,,,,,,,,,needle
3,000013.jpg,,,,,,,,,,,,,,,,,,,,,holder
3,000013.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
3,000013.jpg,,,,,,,,,,,,,,,,,,,,,background
4,000019.jpg,222.5439,20.59867,303.3885,133.8959,0.9999887,,,,,,,,,,,,,,,,grasper
4,000019.jpg,,,,,,,,,,,,,,,,,,,,,stapler
4,000019.jpg,,,,,,,,,,,,,,,,,,,,,needle
4,000019.jpg,,,,,,,,,,,,,,,,,,,,,holder
4,000019.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
4,000019.jpg,,,,,,,,,,,,,,,,,,,,,background
5,000025.jpg,229.7688,5.880795,312.9381,124.5335,0.9999944,,,,,,,,,,,,,,,,grasper
5,000025.jpg,,,,,,,,,,,,,,,,,,,,,stapler
5,000025.jpg,,,,,,,,,,,,,,,,,,,,,needle
5,000025.jpg,,,,,,,,,,,,,,,,,,,,,holder
